year,state,crop,season,c2,msp
2013,Maharashtra,Tur,Kharif,3708.3,4000.0
2014,Maharashtra,Tur,Kharif,4028.98,4350.0
2015,Maharashtra,Tur,Kharif,3300.0,4625.0
2016,Maharashtra,Tur,Kharif,4434.9,5050.0
2017,Maharashtra,Tur,Kharif,4833.68,5450.0
2018,Maharashtra,Tur,Kharif,5240.23,5675.0
2019,Maharashtra,Tur,Kharif,5546.0,5800.0
2020,Maharashtra,Tur,Kharif,5596.0,6000.0
2021,Maharashtra,Tur,Kharif,5241.0,6000.0
2022,Maharashtra,Tur,Kharif,5769.0,6600.0
2007,Punjab,Tur,Kharif,1436.0,1550.0
2008,Punjab,Tur,Kharif,1593.068888888889,3988.285
2009,Punjab,Tur,Kharif,1750.1377777777777,6426.57
2010,Punjab,Tur,Kharif,1907.2066666666667,2800.0
2011,Punjab,Tur,Kharif,2478.563333333333,3100.0
2012,Punjab,Tur,Kharif,2785.9933333333333,3850.0
2013,Punjab,Tur,Kharif,3042.623333333333,4000.0
2014,Punjab,Tur,Kharif,3314.69,4350.0
2015,Punjab,Tur,Kharif,2933.3333333333335,4625.0
2016,Punjab,Tur,Kharif,3641.0366666666664,5050.0
2017,Punjab,Tur,Kharif,3969.206666666667,5450.0
2018,Punjab,Tur,Kharif,4311.6466666666665,5675.0
2019,Punjab,Tur,Kharif,5354.333333333333,5800.0
2020,Punjab,Tur,Kharif,5386.333333333333,6000.0
2021,Punjab,Tur,Kharif,5241.0,6000.0
2022,Punjab,Tur,Kharif,5615.333333333333,6600.0
2007,Uttar Pradesh,Tur,Kharif,1295.0,1550.0
2008,Uttar Pradesh,Tur,Kharif,1512.7,3359.24
2009,Uttar Pradesh,Tur,Kharif,1730.3999999999999,5168.48
2010,Uttar Pradesh,Tur,Kharif,1948.1,2800.0
2011,Uttar Pradesh,Tur,Kharif,2317.1,3100.0
2012,Uttar Pradesh,Tur,Kharif,2487.67,3850.0
2013,Uttar Pradesh,Tur,Kharif,2728.91,4000.0
2014,Uttar Pradesh,Tur,Kharif,2981.82,4350.0
2015,Uttar Pradesh,Tur,Kharif,2500.0,4625.0
2016,Uttar Pradesh,Tur,Kharif,3240.23,5050.0
2017,Uttar Pradesh,Tur,Kharif,3527.27,5450.0
2018,Uttar Pradesh,Tur,Kharif,3838.74,5675.0
2019,Uttar Pradesh,Tur,Kharif,5446.0,5800.0
2020,Uttar Pradesh,Tur,Kharif,5592.0,6000.0
2021,Uttar Pradesh,Tur,Kharif,5387.0,6000.0
2022,Uttar Pradesh,Tur,Kharif,5716.0,6600.0
2007,Gujarat,Urad,Kharif,1604.0,1700.0
2008,Gujarat,Urad,Kharif,2023.6616666666666,3185.045
2009,Gujarat,Urad,Kharif,2443.3233333333333,4670.09
2010,Gujarat,Urad,Kharif,2862.985,2900.0
2011,Gujarat,Urad,Kharif,3220.975,3300.0
2012,Gujarat,Urad,Kharif,3535.76,4300.0
2013,Gujarat,Urad,Kharif,3862.555,4300.0
2014,Gujarat,Urad,Kharif,4186.0,4350.0
2015,Gujarat,Urad,Kharif,4100.0,4625.0
2016,Gujarat,Urad,Kharif,4550.6849999999995,5000.0
2017,Gujarat,Urad,Kharif,4929.985000000001,5400.0
2018,Gujarat,Urad,Kharif,5330.16,5600.0
2019,Gujarat,Urad,Kharif,7510.5,5700.0
2020,Gujarat,Urad,Kharif,7492.0,6000.0
2021,Gujarat,Urad,Kharif,5534.0,6000.0
2022,Gujarat,Urad,Kharif,3569.0,3850.0
2007,Haryana,Urad,Kharif,1604.0,1700.0
2008,Haryana,Urad,Kharif,2023.6616666666666,3185.045
2009,Haryana,Urad,Kharif,2443.3233333333333,4670.09
2010,Haryana,Urad,Kharif,2862.985,2900.0
2011,Haryana,Urad,Kharif,3220.975,3300.0
2012,Haryana,Urad,Kharif,3535.76,4300.0
2013,Haryana,Urad,Kharif,3862.555,4300.0
2014,Haryana,Urad,Kharif,4186.0,4350.0
2015,Haryana,Urad,Kharif,4100.0,4625.0
2016,Haryana,Urad,Kharif,4550.6849999999995,5000.0
2017,Haryana,Urad,Kharif,4929.985000000001,5400.0
2018,Haryana,Urad,Kharif,5330.16,5600.0
2019,Haryana,Urad,Kharif,7510.5,5700.0
2020,Haryana,Urad,Kharif,7492.0,6000.0
2007,Maharashtra,Urad,Kharif,1915.0,1700.0
2008,Maharashtra,Urad,Kharif,2336.7533333333336,3185.045
2009,Maharashtra,Urad,Kharif,2758.5066666666667,4670.09
2010,Maharashtra,Urad,Kharif,3180.26,2900.0
2011,Maharashtra,Urad,Kharif,3550.83,3300.0
2012,Maharashtra,Urad,Kharif,3939.92,4300.0
2013,Maharashtra,Urad,Kharif,4306.94,4300.0
2014,Maharashtra,Urad,Kharif,4684.97,4350.0
2015,Maharashtra,Urad,Kharif,4500.0,4625.0
2016,Maharashtra,Urad,Kharif,5110.15,5000.0
2017,Maharashtra,Urad,Kharif,5543.83,5400.0
2018,Maharashtra,Urad,Kharif,5991.68,5600.0
2019,Maharashtra,Urad,Kharif,7963.0,5700.0
2020,Maharashtra,Urad,Kharif,7807.0,6000.0
2021,Maharashtra,Urad,Kharif,5833.5,6000.0
2022,Maharashtra,Urad,Kharif,3718.75,3850.0
2007,Punjab,Urad,Kharif,1604.0,1700.0
2008,Punjab,Urad,Kharif,2023.6616666666666,3185.045
2009,Punjab,Urad,Kharif,2443.3233333333333,4670.09
2010,Punjab,Urad,Kharif,2862.985,2900.0
2011,Punjab,Urad,Kharif,3220.975,3300.0
2012,Punjab,Urad,Kharif,3535.76,4300.0
2013,Punjab,Urad,Kharif,3862.555,4300.0
2014,Punjab,Urad,Kharif,4186.0,4350.0
2015,Punjab,Urad,Kharif,4100.0,4625.0
2016,Punjab,Urad,Kharif,4550.6849999999995,5000.0
2017,Punjab,Urad,Kharif,4929.985000000001,5400.0
2018,Punjab,Urad,Kharif,5330.16,5600.0
2019,Punjab,Urad,Kharif,7510.5,5700.0
2020,Punjab,Urad,Kharif,7492.0,6000.0
2021,Punjab,Urad,Kharif,5833.5,6000.0
2022,Punjab,Urad,Kharif,3563.25,3850.0
2007,Uttar Pradesh,Urad,Kharif,1293.0,1700.0
2008,Uttar Pradesh,Urad,Kharif,1710.57,2958.155
2009,Uttar Pradesh,Urad,Kharif,2128.14,4216.31
2010,Uttar Pradesh,Urad,Kharif,2545.71,2900.0
2011,Uttar Pradesh,Urad,Kharif,2891.12,3300.0
2012,Uttar Pradesh,Urad,Kharif,3131.6,4300.0
2013,Uttar Pradesh,Urad,Kharif,3418.17,4300.0
2014,Uttar Pradesh,Urad,Kharif,3687.03,4350.0
2015,Uttar Pradesh,Urad,Kharif,3700.0,4625.0
2016,Uttar Pradesh,Urad,Kharif,3991.22,5000.0
2017,Uttar Pradesh,Urad,Kharif,4316.14,5400.0
2018,Uttar Pradesh,Urad,Kharif,4668.64,5600.0
2019,Uttar Pradesh,Urad,Kharif,7058.0,5700.0
2020,Uttar Pradesh,Urad,Kharif,7177.0,6000.0
2021,Uttar Pradesh,Urad,Kharif,6133.0,6000.0
2022,Uttar Pradesh,Urad,Kharif,6133.0,6000.0
2007,Gujarat,Wheat,Rabi,535.37,630.0
2008,Gujarat,Wheat,Rabi,524.8,700.0
2009,Gujarat,Wheat,Rabi,602.91,850.0
2010,Gujarat,Wheat,Rabi,581.12,1000.0
2011,Gujarat,Wheat,Rabi,717.7,1080.0
2012,Gujarat,Wheat,Rabi,783.88,1100.0
2013,Gujarat,Wheat,Rabi,884.28,1120.0
2014,Gujarat,Wheat,Rabi,1051.4,1400.0
2015,Gujarat,Wheat,Rabi,1228.0,1450.0
2016,Gujarat,Wheat,Rabi,1341.0,1525.0
2017,Gujarat,Wheat,Rabi,1320.0,1625.0
2018,Gujarat,Wheat,Rabi,1336.0,1735.0
2019,Gujarat,Wheat,Rabi,1423.0,1840.0
2020,Gujarat,Wheat,Rabi,1504.0,1925.0
2021,Gujarat,Wheat,Rabi,1653.0,1975.0
2022,Gujarat,Wheat,Rabi,1709.0,2015.0
2007,Haryana,Wheat,Rabi,522.87,640.0
2008,Haryana,Wheat,Rabi,577.41,700.0
2009,Haryana,Wheat,Rabi,588.68,850.0
2010,Haryana,Wheat,Rabi,673.46,1000.0
2011,Haryana,Wheat,Rabi,716.55,1080.0
2012,Haryana,Wheat,Rabi,832.45,1100.0
2013,Haryana,Wheat,Rabi,890.35,1120.0
2014,Haryana,Wheat,Rabi,1131.81,1400.0
2015,Haryana,Wheat,Rabi,1138.0,1450.0
2016,Haryana,Wheat,Rabi,1141.0,1525.0
2017,Haryana,Wheat,Rabi,1216.0,1625.0
2018,Haryana,Wheat,Rabi,1267.0,1735.0
2019,Haryana,Wheat,Rabi,1369.0,1840.0
2020,Haryana,Wheat,Rabi,1461.0,1925.0
2021,Haryana,Wheat,Rabi,1500.0,1975.0
2022,Haryana,Wheat,Rabi,1536.0,2015.0
2007,Maharashtra,Wheat,Rabi,537.6,640.0
2008,Maharashtra,Wheat,Rabi,578.175,700.0
2009,Maharashtra,Wheat,Rabi,611.1475,850.0
2010,Maharashtra,Wheat,Rabi,638.4175,1000.0
2011,Maharashtra,Wheat,Rabi,746.35,1080.0
2012,Maharashtra,Wheat,Rabi,1348.75,1100.0
2013,Maharashtra,Wheat,Rabi,875.9275,1120.0
2014,Maharashtra,Wheat,Rabi,1619.34,1400.0
2015,Maharashtra,Wheat,Rabi,1840.0,1450.0
2016,Maharashtra,Wheat,Rabi,1851.0,1525.0
2017,Maharashtra,Wheat,Rabi,2015.0,1625.0
2018,Maharashtra,Wheat,Rabi,2076.0,1735.0
2019,Maharashtra,Wheat,Rabi,2222.0,1840.0
2020,Maharashtra,Wheat,Rabi,2408.0,1925.0
2021,Maharashtra,Wheat,Rabi,2497.0,1975.0
2022,Maharashtra,Wheat,Rabi,2593.0,2015.0
2007,Punjab,Wheat,Rabi,494.35,640.0
2008,Punjab,Wheat,Rabi,556.27,700.0
2009,Punjab,Wheat,Rabi,617.11,850.0
2010,Punjab,Wheat,Rabi,647.95,1000.0
2011,Punjab,Wheat,Rabi,804.8,1080.0
2012,Punjab,Wheat,Rabi,816.89,1100.0
2013,Punjab,Wheat,Rabi,842.17,1120.0
2014,Punjab,Wheat,Rabi,1123.58,1400.0
2015,Punjab,Wheat,Rabi,1083.0,1450.0
2016,Punjab,Wheat,Rabi,1085.0,1525.0
2017,Punjab,Wheat,Rabi,1090.0,1625.0
2018,Punjab,Wheat,Rabi,1128.0,1735.0
2019,Punjab,Wheat,Rabi,1174.0,1840.0
2020,Punjab,Wheat,Rabi,1238.0,1925.0
2021,Punjab,Wheat,Rabi,1287.0,1975.0
2022,Punjab,Wheat,Rabi,1357.0,2015.0
2007,Uttar Pradesh,Wheat,Rabi,597.81,640.0
2008,Uttar Pradesh,Wheat,Rabi,654.22,700.0
2009,Uttar Pradesh,Wheat,Rabi,635.89,850.0
2010,Uttar Pradesh,Wheat,Rabi,651.14,1000.0
2011,Uttar Pradesh,Wheat,Rabi,746.35,1080.0
2012,Uttar Pradesh,Wheat,Rabi,832.96,1100.0
2013,Uttar Pradesh,Wheat,Rabi,886.91,1120.0
2014,Uttar Pradesh,Wheat,Rabi,1078.87,1400.0
2015,Uttar Pradesh,Wheat,Rabi,1146.0,1450.0
2016,Uttar Pradesh,Wheat,Rabi,1162.0,1525.0
2017,Uttar Pradesh,Wheat,Rabi,1183.0,1625.0
2018,Uttar Pradesh,Wheat,Rabi,1255.0,1735.0
2019,Uttar Pradesh,Wheat,Rabi,1402.0,1840.0
2020,Uttar Pradesh,Wheat,Rabi,1521.0,1925.0
2021,Uttar Pradesh,Wheat,Rabi,1560.0,1975.0
2022,Uttar Pradesh,Wheat,Rabi,1584.0,2015.0
